Year,Professional,Managerial,Clerical,Sales,Service,Agriculture,Production,Armed Forces,Housewives,Retirees,Students,Minors,Out of School Youth,No Occupation Reported
1981,4821,451,2475,1628,2381,2238,1780,858,11202,1718,10486,3625,0,5204
1982,5509,360,3992,1865,2213,1894,2758,504,12469,2056,10374,4419,0,5540
1983,3928,324,2796,1414,1614,1787,1951,96,9025,1327,9773,3826,0,4620
1984,3791,320,3131,1326,1075,1475,1992,57,8730,1022,8872,3919,0,5841
1985,3869,366,2972,1819,1037,1483,1848,36,9247,1103,9575,4348,0,7566
1986,4147,369,3394,2109,1038,1389,1822,32,8695,1399,11439,4750,0,8755
1987,4899,420,4605,2825,874,1105,1754,73,9315,1691,13409,5382,0,9998
1988,7689,678,2157,2184,956,1227,2281,315,9720,1417,14811,5683,132,8769
1989,6861,480,1681,2251,1028,1081,2236,309,9929,1716,13429,5114,222,9407
1990,7858,430,1807,2715,1331,1283,2476,285,11520,1855,13641,5051,213,12684
1991,7635,461,1928,2878,1965,1412,3113,285,12248,2107,13722,4783,270,9656
1992,7299,548,1789,3031,1755,1177,2507,159,15076,1948,15324,4913,325,8303
1993,7225,823,2079,2116,1724,1409,2906,84,15850,2236,17725,4642,201,7370
1994,6369,800,2153,2681,2436,1294,2616,67,14800,2241,16954,4315,3,7802
1995,5416,613,2270,2524,1230,1020,2407,48,12863,1670,14760,4216,6,7199
1996,6315,635,1600,2704,1026,1189,2721,41,14549,2069,17019,4342,2,6701
1997,5522,687,1646,2695,1103,1003,2204,32,13377,1897,14572,3523,0,5798
1998,3425,621,1357,1862,752,739,1487,18,9545,1326,10552,2497,0,4828
1999,2521,740,1339,1793,1129,693,1545,357,10146,1706,10903,2594,0,5041
2000,6154,791,1625,2324,964,899,2025,73,11000,1898,12908,3286,163,6921
2001,6932,932,1480,2291,992,965,1695,139,11561,2288,12731,4060,371,5617
2002,8294,890,1377,2830,1046,979,1762,358,12138,2207,13656,4796,655,6732
2003,7574,928,1333,2886,1139,920,1759,217,11418,1936,13098,4688,376,6865
2004,9540,770,1450,3426,1338,1098,2198,57,12014,2378,14990,5880,677,9108
2005,9095,1025,1454,3358,1850,888,1821,116,13477,2325,16931,5672,550,10466
2006,12526,1449,1945,3564,1192,1086,2260,310,17701,3152,20465,6692,178,10447
2007,7816,1708,2153,3576,1035,1201,2374,289,17677,4310,21151,5820,307,11182
2008,7072,1553,1979,3037,1188,948,2188,226,14396,3322,18885,4954,299,10753
2009,6849,2001,2451,3227,1600,1217,2801,247,15283,3821,20897,5831,380,13113
2010,7932,2603,2596,2950,1688,1311,2889,389,14036,3315,23145,7162,457,15602
2011,8181,2176,2207,2880,1899,1138,2936,327,13918,3020,21796,6770,573,15589
2012,7841,1954,1947,2786,2161,958,2562,175,13647,3854,21507,6172,381,17695
2013,6499,2195,1915,2129,2333,906,2162,128,13086,3435,19792,5659,739,17250
2014,6507,1905,1954,2495,2522,858,2290,149,13423,3105,20698,5849,435,18499
2015,7504,1789,1925,2807,2639,1151,2708,285,13723,3576,26667,6159,473,21592
2016,6781,1554,1878,3018,2754,1032,2494,214,13357,2895,24749,5788,1466,21374
2017,5074,1258,1453,2287,3501,920,2342,190,11400,2322,23912,4555,564,20001
2018,5029,1211,1370,2383,2892,789,1819,220,11310,2536,20363,4258,443,19096
2019,5209,1249,1385,2366,2921,590,1597,259,9326,2736,16403,3687,515,16921
2020,1240,282,356,498,664,136,405,54,2918,592,3966,848,126,3618
