Year,Not of Schooling Age,No Formal Education,Elementary Level,Elementary Graduate,High School Level,High School Graduate,Vocational Level,Vocational Graduate,College Level,College Graduate,Post Graduate Level,Post Graduate,Non-Formal Education ,Not Reported / No Response
1988,5514,459,8847,3012,7291,5724,839,1415,8451,15614,527,327,0,0
1989,4792,1254,7899,2721,6967,5625,816,1433,8533,14776,544,380,0,5
1990,4999,1208,8370,3241,8198,6854,1115,1858,9848,16396,647,415,0,0
1991,4342,1028,8070,3572,8017,7525,1224,2066,9724,15835,595,450,0,16
1992,4729,677,8766,3144,8650,7627,1196,2662,10037,15690,482,494,0,0
1993,4361,670,9375,3304,8713,8139,1230,2766,10064,16133,841,726,0,68
1994,4330,647,8727,3356,8447,8147,1122,2498,9841,15810,795,720,0,91
1995,4081,427,7433,2579,7546,7302,1068,2132,8843,13439,708,555,0,129
1996,4204,453,8265,2868,8546,7891,1054,2263,9996,13877,757,739,0,0
1997,3443,413,7209,2614,7517,6873,914,1907,8991,12803,734,641,0,0
1998,2457,234,4730,1833,5231,5589,663,1556,6607,9212,483,410,0,4
1999,2476,318,4802,1835,5256,5634,689,1804,6859,9992,463,379,0,0
2000,3175,331,6308,1864,6475,6398,854,2300,8069,13619,1088,518,23,9
2001,3820,428,6393,2136,6205,6065,744,2126,7566,14785,963,730,56,37
2002,4191,581,6938,2283,6731,6378,845,2383,8181,17424,791,793,153,48
2003,4373,240,6344,2107,6193,5986,817,2175,8340,16354,1090,954,143,21
2004,5541,182,7659,2191,7225,6937,1009,2560,9817,18936,1339,1294,198,36
2005,5363,126,8461,2212,7569,7438,948,2737,10357,20561,1354,1567,293,42
2006,6374,147,10278,2496,8905,9176,1101,3370,12489,24911,1659,1747,303,11
2007,5445,157,10372,2698,9493,9361,1157,3774,13328,21759,1215,1534,297,9
2008,4842,105,8907,2314,8216,8251,970,3368,11852,19264,1100,1564,31,16
2009,5813,92,9986,2395,9218,8702,1273,4092,13668,21794,1071,1476,46,92
2010,7061,83,10969,2194,9428,8299,1421,4534,14365,24834,1188,1586,17,96
2011,6658,64,10359,2152,9260,8401,1363,4531,13809,24193,1010,1484,13,113
2012,6174,61,10089,2424,9303,8707,1414,4308,14169,24183,1063,1644,4,97
2013,5661,69,9129,2066,8779,8444,1248,4062,13472,22841,943,1328,8,178
2014,5842,95,9225,1980,8665,8422,1405,4468,13913,24266,931,1330,0,147
2015,6162,37,11272,2399,10722,9473,1587,4530,16699,27520,954,1472,6,165
2016,5999,26,10943,2131,10705,8912,1267,4154,15911,27162,689,1358,0,97
2017,5239,116,9876,1861,11060,7893,1191,3614,12994,24063,587,1116,26,143
2018,4690,125,8235,1739,10222,8079,1075,3271,11089,23203,586,1097,113,195
2019,4120,110,6821,1464,8257,7620,1014,2826,9300,21875,521,1015,70,151
2020,950,17,1589,256,1949,1900,234,664,2383,5311,110,258,57,25
