Year,ILOCOS NORTE,ILOCOS SUR,LA UNION,PANGASINAN,BATANES,CAGAYAN,ISABELA,NUEVA VIZCAYA,QUIRINO,AURORA,BATAAN,BULACAN,NUEVA ECIJA,PAMPANGA,TARLAC,ZAMBALES,BATANGAS,CAVITE,LAGUNA,QUEZON,RIZAL,MARINDUQUE,OCCIDENTAL MINDORO,ORIENTAL MINDORO,PALAWAN,ROMBLON,ALBAY,CAMARINES NORTE,CAMARINES SUR,CATANDUANES,MASBATE,SORSOGON,AKLAN,ANTIQUE,CAPIZ,GUIMARAS,ILOILO ,NEGROS OCCIDENTAL,BOHOL,CEBU,NEGROS ORIENTAL,SIQUIJOR,BILIRAN,EASTERN SAMAR,LEYTE,NORTHERN SAMAR,SAMAR (WESTERN SAMAR),SOUTHERN LEYTE,ZAMBOANGA DEL NORTE,ZAMBOANGA DEL SUR,ZAMBOANGA SIBUGAY,"ISABELA CITY, (BASILAN)  (a)",BUKIDNON,CAMIGUIN,LANAO DEL NORTE,MISAMIS OCCIDENTAL,MISAMIS ORIENTAL,COMPOSTELA VALLEY,DAVAO DEL NORTE,DAVAO DEL SUR,DAVAO ORIENTAL,COTABATO CITY  (a),NORTH COTABATO,SARANGANI,SOUTH COTABATO,SULTAN KUDARAT,AGUSAN DEL NORTE,AGUSAN DEL SUR,SURIGAO DEL NORTE (still includes Dinagat Islands) (b),SURIGAO DEL SUR,BASILAN,LANAO DEL SUR,MAGUINDANAO (still includes Shariff Kabunsuan) (c),SULU,TAWI-TAWI,ABRA,APAYAO,BENGUET,IFUGAO,KALINGA,MOUNTAIN PROVINCE,NCR
1988,1330,785,864,2769,2,243,279,174,3,6,648,1136,746,4481,982,4088,1014,2323,1353,475,1273,43,40,94,21,29,210,47,358,28,49,74,125,53,104,4,735,413,204,1840,197,54,20,44,328,47,64,55,62,129,13,10,43,14,75,93,197,8,43,352,12,21,25,2,63,7,80,5,22,41,3,0,2,2,0,101,6,915,17,17,8,25370
1989,1544,823,789,2581,0,246,298,153,8,21,639,1262,690,4304,938,3344,941,2358,1432,472,1278,18,33,108,24,28,156,44,294,18,29,68,79,40,87,9,604,451,219,1838,165,54,18,40,334,26,68,50,43,137,2,3,44,11,69,84,181,21,41,356,9,22,32,9,81,32,68,6,48,22,0,9,3,2,1,111,20,675,10,12,11,24543
1990,1945,1028,847,3129,0,245,342,164,15,27,831,1542,869,4435,1093,3469,1139,2650,1668,487,1568,18,53,112,32,34,203,67,374,31,40,97,136,74,124,17,787,633,250,2007,244,98,24,28,384,30,65,74,88,149,6,7,44,16,82,116,221,21,42,339,3,29,49,5,101,11,98,10,41,23,5,1,1,2,0,111,8,768,21,14,13,27170
1991,1795,1018,977,3080,1,264,343,195,8,8,689,1451,858,4233,1032,3288,1097,2557,1745,579,1463,20,17,92,33,17,209,98,396,21,32,59,98,65,127,14,708,586,254,2218,230,52,28,45,387,63,64,56,89,164,5,1,45,12,127,121,281,21,59,448,16,27,20,31,78,15,91,10,58,35,3,2,3,4,0,130,3,766,11,15,27,27075
1992,1860,990,1022,3135,0,262,343,234,33,23,808,1460,862,3697,1098,4485,1126,2591,1803,573,1530,26,47,98,35,24,205,94,394,23,31,95,131,71,116,28,768,678,283,2408,293,52,17,67,418,42,110,56,128,172,12,10,57,22,112,150,282,31,47,509,16,31,54,20,138,24,107,13,68,29,2,5,2,1,1,161,4,797,31,22,12,26539
1993,1975,1180,959,3378,2,275,406,267,12,26,654,1594,997,3838,1128,2612,1333,2722,1821,542,1701,34,17,184,41,37,258,67,408,37,28,75,148,106,154,17,861,811,290,2641,343,72,38,44,498,53,98,99,154,213,15,3,94,22,167,136,373,25,89,583,18,28,59,15,143,27,96,18,71,41,9,0,2,2,3,160,10,855,22,14,28,28013
1994,1832,1145,1001,3646,3,307,517,297,22,22,751,1688,944,3760,1246,2099,1288,2812,1902,664,1731,33,47,129,45,27,201,89,425,64,32,81,141,93,173,21,857,685,310,2317,323,71,25,52,465,21,73,62,120,282,19,3,93,17,154,139,362,37,87,633,26,22,59,7,157,20,120,27,78,44,2,2,3,0,4,171,14,852,29,42,24,26343
1995,1992,1028,898,3160,2,285,393,298,27,16,558,1532,953,3320,1062,2061,1103,2478,1718,476,1550,33,74,91,18,31,184,72,310,40,46,83,108,51,126,36,625,587,255,1893,201,70,16,43,386,33,68,80,131,128,8,3,71,17,170,118,281,22,70,510,15,25,38,7,152,19,86,25,62,41,0,1,5,2,0,145,27,749,15,21,20,22788
1996,2335,1271,987,3366,1,403,502,287,37,14,642,1600,1023,3593,1227,2146,1134,2802,1904,516,1905,26,48,115,55,38,232,85,358,28,51,93,157,73,110,36,772,552,274,2127,273,50,31,54,480,29,60,40,170,183,23,9,89,12,158,142,338,27,75,602,18,20,53,30,188,19,133,15,67,57,9,0,8,3,0,244,22,794,20,20,12,23411
1997,2000,951,834,2898,4,301,479,237,26,13,561,1404,966,3310,1020,1677,1024,2647,1810,464,1632,26,46,71,37,41,238,76,324,21,48,93,121,66,98,23,727,569,346,2037,294,63,20,57,408,23,90,79,147,197,19,14,78,30,179,117,350,13,92,612,12,14,45,21,154,20,129,19,74,36,2,1,2,0,0,123,11,841,12,14,12,20369
