Year,Region I - Ilocos Region,Region II - Cagayan Valley,Region III - Central Luzon,Region IV A - CALABARZON,Region IV B - MIMAROPA,Region V - Bicol Region,Region VI - Western Visayas,Region VII - Central Visayas,Region VIII - Eastern Visayas,Region IX - Zamboanga Peninsula,Region X - Northern Mindanao,Region XI - Davao Region,Region XII - SOCCSKSARGEN,Region XIII - Caraga,Autonomous Region in Muslim Mindanao (ARMM),Cordillera Administrative Region (CAR),National Capital Region (NCR),,,,,,,,,
1988,5748,701,12087,6438,227,766,1434,2295,558,214,422,415,118,148,7,1064,25370,,,,,,,,,
1989,5737,705,11198,6481,211,609,1270,2276,536,185,389,427,176,144,15,839,24543,,,,,,,,,
1990,6949,766,12266,7512,249,812,1771,2599,605,250,479,405,195,172,9,935,27170,,,,,,,,,
1991,6870,811,11559,7441,179,815,1598,2754,643,259,586,544,171,194,12,952,27075,,,,,,,,,
1992,7007,872,12433,7623,230,842,1792,3036,710,322,623,603,267,217,11,1027,26539,,,,,,,,,
1993,7492,962,10849,8119,313,873,2097,3346,830,385,792,715,272,226,16,1089,28013,,,,,,,,,
1994,7624,1146,10510,8397,281,892,1970,3021,698,424,765,783,265,269,11,1132,26343,,,,,,,,,
1995,7078,1005,9502,7325,247,735,1533,2419,626,270,657,617,241,214,8,977,22788,,,,,,,,,
1996,7959,1230,10245,8261,282,847,1700,2724,694,385,739,722,310,272,20,1112,23411,,,,,,,,,
1997,6683,1047,8951,7577,221,800,1604,2740,677,377,754,729,254,258,5,1013,20369,,,,,,,,,
1998,4984,753,6280,5411,227,604,1189,2064,532,251,583,572,272,187,3,739,14358,,,,,,,,,
1999,4889,848,6456,5574,197,672,1141,2354,567,316,683,823,248,284,18,889,14548,,,,,,,,,
2000,6146,796,7867,7390,291,767,1572,2901,627,379,908,1361,342,295,29,1187,18173,,,,,,,,,
2001,5603,891,7805,8364,275,837,1730,3231,587,380,884,1388,370,279,14,1078,18338,,,,,,,,,
2002,5970,1031,8740,8783,281,940,2122,4161,798,540,1153,1728,419,372,18,1349,19313,,,,,,,,,
2003,5999,1007,8215,8461,295,871,2063,3738,713,509,1146,1941,467,361,17,1285,18047,,,,,,,,,
2004,7364,1263,9648,10019,340,1019,2584,4339,940,585,1514,2139,557,467,13,1555,20578,,,,,,,,,
2005,7035,1168,10152,11325,395,1106,2464,4912,907,626,1547,2300,645,506,38,1414,22485,,,,,,,,,
2006,7857,1640,11965,13500,378,1438,3358,6256,1253,1022,2260,2706,877,739,26,1831,25861,,,,,,,,,
